pokemon_id,name,base_experience,height_in_meters,weight_in_kg,hp,attack,defense,special_attack,special_defense,speed,primary_type,secondary_type,gender_rate,capture_rate,base_happiness,is_baby,is_legendary,is_mythical,color,shape,generation,total_stats
1.0,bulbasaur,64.0,0.7,6.9,45.0,49.0,49.0,65.0,65.0,45.0,grass,poison,0.12,0.18,70.0,False,False,False,green,quadruped,Gen 1,318.0
2.0,ivysaur,142.0,1.0,13.0,60.0,62.0,63.0,80.0,80.0,60.0,grass,poison,0.12,0.18,70.0,False,False,False,green,quadruped,Gen 1,405.0
3.0,venusaur,236.0,2.0,100.0,80.0,82.0,83.0,100.0,100.0,80.0,grass,poison,0.12,0.18,70.0,False,False,False,green,quadruped,Gen 1,525.0
4.0,charmander,62.0,0.6,8.5,39.0,52.0,43.0,60.0,50.0,65.0,fire,,0.12,0.18,70.0,False,False,False,red,upright,Gen 1,309.0
5.0,charmeleon,142.0,1.1,19.0,58.0,64.0,58.0,80.0,65.0,80.0,fire,,0.12,0.18,70.0,False,False,False,red,upright,Gen 1,405.0
6.0,charizard,240.0,1.7,90.5,78.0,84.0,78.0,109.0,85.0,100.0,fire,flying,0.12,0.18,70.0,False,False,False,red,upright,Gen 1,534.0
7.0,squirtle,63.0,0.5,9.0,44.0,48.0,65.0,50.0,64.0,43.0,water,,0.12,0.18,70.0,False,False,False,blue,upright,Gen 1,314.0
8.0,wartortle,142.0,1.0,22.5,59.0,63.0,80.0,65.0,80.0,58.0,water,,0.12,0.18,70.0,False,False,False,blue,upright,Gen 1,405.0
9.0,blastoise,239.0,1.6,85.5,79.0,83.0,100.0,85.0,105.0,78.0,water,,0.12,0.18,70.0,False,False,False,blue,upright,Gen 1,530.0
10.0,caterpie,39.0,0.3,2.9,45.0,30.0,35.0,20.0,20.0,45.0,bug,,0.5,1.0,70.0,False,False,False,green,armor,Gen 1,195.0
11.0,metapod,72.0,0.7,9.9,50.0,20.0,55.0,25.0,25.0,30.0,bug,,0.5,0.47,70.0,False,False,False,green,squiggle,Gen 1,205.0
12.0,butterfree,178.0,1.1,32.0,60.0,45.0,50.0,90.0,80.0,70.0,bug,flying,0.5,0.18,70.0,False,False,False,white,bug-wings,Gen 1,395.0
13.0,weedle,39.0,0.3,3.2,40.0,35.0,30.0,20.0,20.0,50.0,bug,poison,0.5,1.0,70.0,False,False,False,brown,armor,Gen 1,195.0
