pokemon_id,pokemon_name,pokemon_base_exp,pokemon_height,pokemon_weight,pokemon_hp,pokemon_atk,pokemon_def,pokemon_sp_atk,pokemon_sp_def,pokemon_speed,pokemon_type_1,pokemon_type_2,p_species_gender_rate,p_species_capture_rate,p_species_base_happiness,p_species_is_baby,p_species_is_legendary,p_species_is_mythical,p_species_color,p_species_shape,p_species_gen
1,bulbasaur,64,7,69,45,49,49,65,65,45,grass,poison,1,45,70,False,False,False,green,quadruped,generation-i
2,ivysaur,142,10,130,60,62,63,80,80,60,grass,poison,1,45,70,False,False,False,green,quadruped,generation-i
3,venusaur,236,20,1000,80,82,83,100,100,80,grass,poison,1,45,70,False,False,False,green,quadruped,generation-i
4,charmander,62,6,85,39,52,43,60,50,65,fire,,1,45,70,False,False,False,red,upright,generation-i
5,charmeleon,142,11,190,58,64,58,80,65,80,fire,,1,45,70,False,False,False,red,upright,generation-i
6,charizard,240,17,905,78,84,78,109,85,100,fire,flying,1,45,70,False,False,False,red,upright,generation-i
7,squirtle,63,5,90,44,48,65,50,64,43,water,,1,45,70,False,False,False,blue,upright,generation-i
8,wartortle,142,10,225,59,63,80,65,80,58,water,,1,45,70,False,False,False,blue,upright,generation-i
9,blastoise,239,16,855,79,83,100,85,105,78,water,,1,45,70,False,False,False,blue,upright,generation-i
10,caterpie,39,3,29,45,30,35,20,20,45,bug,,4,255,70,False,False,False,green,armor,generation-i
11,metapod,72,7,99,50,20,55,25,25,30,bug,,4,120,70,False,False,False,green,squiggle,generation-i
12,butterfree,178,11,320,60,45,50,90,80,70,bug,flying,4,45,70,False,False,False,white,bug-wings,generation-i
13,weedle,39,3,32,40,35,30,20,20,50,bug,poison,4,255,70,False,False,False,brown,armor,generation-i
14,kakuna,72,6,100,45,25,50,25,25,35,bug,poison,4,120,70,False,False,False,yellow,squiggle,generation-i
15,beedrill,178,10,295,65,90,40,45,80,75,bug,poison,4,45,70,False,False,False,yellow,bug-wings,generation-i
16,pidgey,50,3,18,40,45,40,35,35,56,normal,flying,4,255,70,False,False,False,brown,wings,generation-i
17,pidgeotto,122,11,300,63,60,55,50,50,71,normal,flying,4,120,70,False,False,False,brown,wings,generation-i
18,pidgeot,216,15,395,83,80,75,70,70,101,normal,flying,4,45,70,False,False,False,brown,wings,generation-i
19,rattata,51,3,35,30,56,35,25,35,72,normal,,4,255,70,False,False,False,purple,quadruped,generation-i
20,raticate,145,7,185,55,81,60,50,70,97,normal,,4,127,70,False,False,False,brown,quadruped,generation-i
21,spearow,52,3,20,40,60,30,31,31,70,normal,flying,4,255,70,False,False,False,brown,wings,generation-i
22,fearow,155,12,380,65,90,65,61,61,100,normal,flying,4,90,70,False,False,False,brown,wings,generation-i
23,ekans,58,20,69,35,60,44,40,54,55,poison,,4,255,70,False,False,False,purple,squiggle,generation-i
24,arbok,157,35,650,60,95,69,65,79,80,poison,,4,90,70,False,False,False,purple,squiggle,generation-i
25,pikachu,112,4,60,35,55,40,50,50,90,electric,,4,190,70,False,False,False,yellow,quadruped,generation-i
26,raichu,218,8,300,60,90,55,90,80,110,electric,,4,75,70,False,False,False,yellow,upright,generation-i
27,sandshrew,60,6,120,50,75,85,20,30,40,ground,,4,255,70,False,False,False,yellow,upright,generation-i
28,sandslash,158,10,295,75,100,110,45,55,65,ground,,4,90,70,False,False,False,yellow,upright,generation-i
29,nidoran-f,55,4,70,55,47,52,40,40,41,poison,,8,235,70,False,False,False,blue,quadruped,generation-i
30,nidorina,128,8,200,70,62,67,55,55,56,poison,,8,120,70,False,False,False,blue,quadruped,generation-i
31,nidoqueen,227,13,600,90,92,87,75,85,76,poison,ground,8,45,70,False,False,False,blue,upright,generation-i
32,nidoran-m,55,5,90,46,57,40,40,40,50,poison,,0,235,70,False,False,False,purple,quadruped,generation-i
33,nidorino,128,9,195,61,72,57,55,55,65,poison,,0,120,70,False,False,False,purple,quadruped,generation-i
34,nidoking,227,14,620,81,102,77,85,75,85,poison,ground,0,45,70,False,False,False,purple,upright,generation-i
35,clefairy,113,6,75,70,45,48,60,65,35,fairy,,6,150,140,False,False,False,pink,upright,generation-i
36,clefable,217,13,400,95,70,73,95,90,60,fairy,,6,25,140,False,False,False,pink,upright,generation-i
37,vulpix,60,6,99,38,41,40,50,65,65,fire,,6,190,70,False,False,False,brown,quadruped,generation-i
38,ninetales,177,11,199,73,76,75,81,100,100,fire,,6,75,70,False,False,False,yellow,quadruped,generation-i
39,jigglypuff,95,5,55,115,45,20,45,25,20,normal,fairy,6,170,70,False,False,False,pink,humanoid,generation-i
40,wigglytuff,196,10,120,140,70,45,85,50,45,normal,fairy,6,50,70,False,False,False,pink,humanoid,generation-i
41,zubat,49,8,75,40,45,35,30,40,55,poison,flying,4,255,70,False,False,False,purple,wings,generation-i
42,golbat,159,16,550,75,80,70,65,75,90,poison,flying,4,90,70,False,False,False,purple,wings,generation-i
43,oddish,64,5,54,45,50,55,75,65,30,grass,poison,4,255,70,False,False,False,blue,legs,generation-i
44,gloom,138,8,86,60,65,70,85,75,40,grass,poison,4,120,70,False,False,False,blue,humanoid,generation-i
45,vileplume,221,12,186,75,80,85,110,90,50,grass,poison,4,45,70,False,False,False,red,humanoid,generation-i
46,paras,57,3,54,35,70,55,45,55,25,bug,grass,4,190,70,False,False,False,red,armor,generation-i
47,parasect,142,10,295,60,95,80,60,80,30,bug,grass,4,75,70,False,False,False,red,armor,generation-i
48,venonat,61,10,300,60,55,50,40,55,45,bug,poison,4,190,70,False,False,False,purple,humanoid,generation-i
49,venomoth,158,15,125,70,65,60,90,75,90,bug,poison,4,75,70,False,False,False,purple,bug-wings,generation-i
